season,team,conference,off_ppa_overall,off_ppa_passing,off_ppa_rushing,off_success_rate,off_explosiveness,def_ppa_overall,def_ppa_passing,def_ppa_rushing,def_success_rate,def_explosiveness
2020,Air Force,Mountain West,0.31,0.45,0.28,,,0.1,0.19,0.04,,
2020,Akron,Mid-American,0.0,-0.15,0.15,,,0.39,0.48,0.33,,
2020,Alabama,SEC,0.43,0.65,0.22,,,0.07,0.09,0.05,,
2020,App State,Sun Belt,0.24,0.28,0.22,,,0.08,-0.01,0.16,,
2020,Arizona,Pac-12,0.05,0.02,0.09,,,0.27,0.47,0.16,,
2020,Arizona State,Pac-12,0.28,0.29,0.28,,,0.12,0.15,0.09,,
2020,Arkansas,SEC,0.2,0.34,0.08,,,0.16,0.2,0.12,,
2020,Arkansas State,Sun Belt,0.24,0.42,0.01,,,0.2,0.41,0.01,,
2020,Army,FBS Independents,0.17,0.12,0.18,,,0.03,0.15,-0.07,,
2020,Auburn,SEC,0.19,0.18,0.19,,,0.21,0.29,0.13,,
2020,Ball State,Mid-American,0.21,0.34,0.1,,,0.14,0.25,0.01,,
2020,Baylor,Big 12,0.06,0.11,-0.01,,,0.15,0.17,0.13,,
2020,Boise State,Mountain West,0.18,0.33,0.02,,,0.18,0.26,0.11,,
2020,Boston College,ACC,0.2,0.38,-0.02,,,0.22,0.34,0.13,,
2020,Bowling Green,Mid-American,0.02,-0.11,0.11,,,0.34,0.3,0.36,,
2020,Buffalo,Mid-American,0.37,0.43,0.34,,,0.09,0.06,0.12,,
2020,BYU,FBS Independents,0.42,0.57,0.27,,,0.06,0.2,-0.07,,
2020,California,Pac-12,0.06,0.04,0.09,,,0.15,0.31,0.03,,
2020,Central Michigan,Mid-American,0.15,0.16,0.14,,,0.15,0.35,-0.01,,
2020,Charlotte,Conference USA,0.13,0.22,0.05,,,0.23,0.28,0.19,,
2020,Cincinnati,American Athletic,0.28,0.38,0.19,,,0.01,-0.02,0.05,,
2020,Clemson,ACC,0.3,0.39,0.17,,,0.05,0.16,-0.06,,
2020,Coastal Carolina,Sun Belt,0.33,0.59,0.18,,,0.13,0.08,0.18,,
2020,Colorado,Pac-12,0.1,0.18,0.04,,,0.12,0.16,0.08,,
2020,Colorado State,Mountain West,0.02,0.1,-0.05,,,0.13,0.32,-0.02,,
2020,Duke,ACC,0.08,0.12,0.05,,,0.26,0.27,0.26,,
2020,East Carolina,American Athletic,0.11,0.18,0.05,,,0.19,0.25,0.14,,
2020,Eastern Michigan,Mid-American,0.21,0.35,0.07,,,0.26,0.34,0.21,,
2020,Florida,SEC,0.32,0.46,0.12,,,0.24,0.28,0.21,,
2020,Florida Atlantic,Conference USA,0.09,0.08,0.1,,,0.07,0.1,0.05,,
2020,Florida International,Conference USA,0.02,-0.15,0.18,,,0.19,0.23,0.17,,
2020,Florida State,ACC,0.16,-0.05,0.36,,,0.26,0.33,0.2,,
2020,Fresno State,Mountain West,0.22,0.29,0.12,,,0.19,0.15,0.24,,
2020,Georgia,SEC,0.22,0.26,0.17,,,0.11,0.18,0.02,,
2020,Georgia Southern,Sun Belt,0.19,0.09,0.22,,,0.09,0.13,0.06,,
2020,Georgia State,Sun Belt,0.16,0.23,0.11,,,0.13,0.21,0.04,,
2020,Georgia Tech,ACC,0.14,0.11,0.17,,,0.2,0.31,0.09,,
2020,Hawai'i,Mountain West,0.2,0.2,0.21,,,0.16,0.15,0.17,,
2020,Houston,American Athletic,0.16,0.21,0.11,,,0.21,0.29,0.15,,
2020,Illinois,Big Ten,0.13,0.1,0.15,,,0.31,0.42,0.23,,
2020,Indiana,Big Ten,0.1,0.21,-0.03,,,0.12,0.14,0.11,,
