Weight.x,Converted_Arm,Converted_Hand,Height,Weight.y,Dash40,Shuttle20,Vertical,Position_Group
238,33.375,9.625,76,211,4.75,4.52,36.9,LB
237,31.625,9.625,74,240,4.75,4.64,30,LB
180,29.875,9,70,182,4.51,4.23,35.1,DB
191,31,7.875,69,174,4.6,4.18,40.8,DB
183,29.5,9.125,68,168,4.69,4.16,30.2,DB
188,30.625,9,74,165,4.62,4.38,33.1,DB
197,30.625,9.125,72,172,NA,4.29,37.4,DB
197,31.75,9.125,72,183,4.4,4.42,40.8,DB
190,30.875,9.125,70,176,4.41,4.1,33.2,DB
195,29.5,9.25,70,195,4.32,4.09,33.6,DB
208,32.25,9.5,75,209,NA,NA,36.2,DB
208,32.25,9.5,75,202,4.77,4.44,31.6,DB
193,31.375,9.375,73,181,4.47,4,39.7,DB
187,30.25,9,70,170,4.62,4.35,34.6,DB
187,31.75,10.125,74,171,NA,4.24,NA,DB
185,29.375,8.75,70,170,4.83,3.93,34.6,DB
195,31.25,9,74,179,4.54,4.07,37,DB
187,31,9,72,167,4.52,4.25,31.3,DB
202,29.5,9.25,72,178,4.78,4.27,27.8,DB
194,29.625,9.5,72,177,4.5,4.03,34.2,DB
206,32.625,8.5,74,176,4.56,4.15,36.3,DB
213,30.375,9.125,76,189,4.52,4.04,36.6,DB
205,31.75,9.125,73,181,NA,4.36,32.5,DB
203,31,9,74,205,4.51,4.4,32.8,DB
208,31.75,9.5,71,180,NA,4.34,29,DB
198,30.125,8.75,72,193,4.56,4.35,34,DB
201,30.875,8.625,73,196,4.59,4.21,36.7,DB
190,29.875,9,71,173,4.5,4.1,40.2,DB
190,29.875,9,72,180,4.57,4.01,38.6,DB
203,30.125,9.5,69,183,NA,4.16,32.8,DB
210,30.25,9.375,73,185,4.79,4.31,33.5,QB
220,30.375,9.75,74,222,4.83,4.32,31.1,QB
217,32.625,9.75,75,180,4.91,4.33,30.9,QB
217,31.375,9.5,76,198,NA,4.32,32.7,QB
211,33.5,9.375,75,202,4.81,4.55,30,QB
234,30.5,9.75,76,237,4.76,4.47,31.2,QB
236,33,10.125,78,211,5.12,4.5,28.5,QB
217,32.375,9.875,75,217,4.67,4.15,34.2,WR
222,31.625,10.25,76,186,4.52,4.12,35.9,WR
220,31.375,9.625,76,202,4.47,4.01,33.8,WR
215,33,9.75,74,206,4.78,4.47,34.7,WR
187,31.75,9.125,73,166,4.39,4.16,35,WR
204,32.75,10,73,200,4.64,4.31,35.9,WR
212,30.375,9.5,70,209,4.49,4.27,38.1,WR
218,34.25,9.375,79,335,5.99,5.57,21.1,WR
193,31.25,9.25,72,177,4.69,4.43,41.4,WR
184,32.875,9.5,74,180,NA,4.2,32.5,WR
194,30.375,9.75,72,182,4.58,4.2,34.1,WR
245,33.25,9.75,77,215,4.69,4.46,33.3,TE
251,33,9.25,78,244,4.95,4.36,32.4,TE
240,31.625,9.375,77,224,4.81,4.64,28.9,TE
213,32.5,8.625,71,198,4.59,4.16,35.6,RB
218,31,9.375,71,188,NA,NA,30.6,RB
201,29.125,8.75,70,193,4.71,4.18,36.8,RB
215,30.125,9.375,71,199,4.43,4.33,37.3,RB
211,32.5,10,71,194,4.66,4.18,36.2,RB
189,31.375,9.375,69,178,4.62,4.03,36.1,RB
232,33.375,10.25,75,226,4.66,4.16,32.2,RB
214,30.5,9.625,71,205,4.64,4.3,37.6,RB
246,32.625,9.375,75,247,4.88,4.27,29.3,RB
215,33.375,9.375,73,214,NA,4.27,34.7,RB
309,31.625,10,77,302,5.3,4.69,26,OL
308,35,10,80,323,5.58,4.81,21.9,OL
325,33.125,10.125,79,344,5.64,4.91,23.8,OL
343,33.75,9.75,79,314,5.11,4.97,25.8,OL
316,33,10.25,79,310,5.67,5.22,21.8,OL
333,33.25,10.375,77,306,5.28,4.79,27.3,OL
307,34.375,10,80,325,6.1,5.48,17.6,OL
305,32.25,10.125,74,270,5.14,4.93,27.9,OL
306,32.125,9.75,77,276,5.49,4.87,27.9,OL
302,32.5,9.625,77,310,5.51,4.81,27,OL
321,32.5,9.5,77,286,5.56,5.58,21.1,OL
293,31.125,8.25,74,302,5.56,4.73,24.4,OL
309,33.5,10.625,77,308,5.38,4.96,24,OL
312,33.875,9.5,78,327,5.22,4.89,27.8,OL
313,33.75,10.125,80,305,5.28,4.4,27.4,OL
330,34.125,9.625,73,174,4.89,4.43,28.7,OL
310,32,10.375,78,310,5.11,4.49,29.6,OL
304,33,10.5,75,269,5.41,4.96,24.9,OL
321,33.75,10,78,299,5.31,4.78,28.3,OL
321,33.75,10,73,202,4.8,4.53,28.6,OL
308,32.125,9.625,76,270,NA,4.86,NA,OL
310,33.75,10.125,79,296,5.6,5.32,23.4,OL
253,32.125,9.625,75,238,4.89,4.21,32.4,EDGE
262,33.125,9.5,74,254,5.13,4.64,28.9,EDGE
275,32.5,10.5,76,265,5.14,4.47,27.9,EDGE
258,31,10.125,75,252,5.08,4.32,29.8,EDGE
260,34.5,9.5,78,256,4.86,4.67,30.2,EDGE
282,34.125,10.375,74,257,5,4.7,33.3,EDGE
260,35.25,9.625,76,215,5.01,4.21,30.2,EDGE
261,33,10,76,226,4.75,4.47,35.2,EDGE
260,33.25,9.75,77,241,4.65,4.5,32.1,EDGE
251,33.75,10.125,74,206,4.85,4.69,30.3,EDGE
266,35.25,10.875,77,247,4.62,4.27,33.4,EDGE
255,33.375,9.25,78,217,4.75,4.63,29.3,EDGE
242,33,9.5,75,215,NA,4.64,32.5,EDGE
259,33.25,9.75,77,241,5.23,4.66,27.1,EDGE
327,34,10.875,76,288,6.06,5.83,20.4,DL
350,33.625,10.25,75,376,5.52,4.89,22.8,DL
330,32.625,9.125,77,353,5.29,5.13,27.3,DL
278,32.25,8.875,74,280,5.31,4.55,31.4,DL
305,32.5,9.375,75,297,5.04,4.76,26,DL
317,33,10.375,75,295,5.28,4.69,25.6,DL
303,33.375,10.125,76,332,5.17,4.56,25.1,DL
245,33.5,10,75,232,4.56,4.18,37.4,LB
234,33,9.5,75,200,4.7,4.41,34.9,LB
225,32.75,9.375,75,222,4.67,4.12,30.3,EDGE
227,30.25,9.625,74,200,NA,NA,31.3,EDGE
235,31.875,9.25,74,235,4.56,4.09,37.1,LB
233,30.75,8.625,73,228,4.62,4.55,32,LB
229,30.25,9.625,75,197,NA,NA,NA,LB
185,30.375,9.5,71,173,4.43,3.93,36.5,DB
192,31,8.875,71,177,4.52,3.96,36.4,DB
199,30.625,9.75,71,183,4.43,3.96,33.6,DB
205,32.125,9,75,183,4.71,4.66,34.9,DB
192,29.5,9.5,71,181,4.51,3.93,37.1,DB
186,30.25,8.75,73,175,4.63,4.22,35.5,DB
202,32.625,9.375,75,189,4.58,3.86,36.6,DB
213,32,9.75,73,201,4.7,4.36,30.5,DB
194,32.75,9.125,73,172,4.47,4.06,31.3,DB
