Source_File,Name,Link,Height,Weight,Dash40,Shuttle20,Vertical,Position,SPARQ,Power_Throw
5,Jonathan Giles,https://www.espn.com/college-sports/football/recruiting/player/_/id/193179/jonathan-giles,71,174,4.6,4.44,34.1,at,87.6,34
5,Antonio Parks,https://www.espn.com/college-sports/football/recruiting/player/_/id/174439/antonio-parks,68,171,4.89,4.37,30.3,at,65.49,31
5,Christian Campbell,https://www.espn.com/college-sports/football/recruiting/player/_/id/193809/christian-campbell,73,189,4.7,4.72,33.9,at,76.05,32
5,Ty Johnson,https://www.espn.com/college-sports/football/recruiting/player/_/id/198049/ty-johnson,70,178,4.68,4.34,31.4,at,91.35,37.5
5,Deundre Pickett-White,https://www.espn.com/college-sports/football/recruiting/player/_/id/173947/deundre-pickett-white,73,188,4.83,4.37,33,at,73.29,32
5,Trenard Davis,https://www.espn.com/college-sports/football/recruiting/player/_/id/174008/trenard-davis,71,217,NA,4.75,25.7,at,NA,34
5,Jonathan Crawford,https://www.espn.com/college-sports/football/recruiting/player/_/id/187878/jonathan-crawford,74,171,NA,4.49,28.7,at,NA,NA
6,Tyler Byrd,https://www.espn.com/college-sports/football/recruiting/player/_/id/187224/tyler-byrd,72,194,4.61,4.35,38.8,at,102.54,38
6,Mecole Hardman,https://www.espn.com/college-sports/football/recruiting/player/_/id/189186/mecole-hardman,71,176,4.48,4.29,37,at,100.53,33
6,Lamar Jackson,https://www.espn.com/college-sports/football/recruiting/player/_/id/206195/lamar-jackson,75,209,NA,NA,36.2,at,NA,30.5
6,Charlie Woerner,https://www.espn.com/college-sports/football/recruiting/player/_/id/186957/charlie-woerner,77,220,4.76,4.44,31,at,95.58,39
6,David Long,https://www.espn.com/college-sports/football/recruiting/player/_/id/193740/david-long,70,176,4.4,4.15,35.9,at,114.36,36
6,Aaron Hansford,https://www.espn.com/college-sports/football/recruiting/player/_/id/206152/aaron-hansford,75,209,4.51,4.33,32.1,at,108.48,39
6,Trevon Sidney,https://www.espn.com/college-sports/football/recruiting/player/_/id/193745/trevon-sidney,71,164,NA,4.31,34.4,at,NA,35.5
6,Jordan Fuller,https://www.espn.com/college-sports/football/recruiting/player/_/id/171330/jordan-fuller,74,205,4.51,4.4,32.8,at,90.96,30.5
